1001,1001,678691,266013
1501,1501,26304205,598178
128,128,402,4363
517,517,119315,98904
517,517,118661,98904
517,517,102583,98904
517,517,106288,98904
517,517,100399,98904
517,517,95889,98904
517,517,96020,98904
16,16,5,67
26,26,14,176
36,36,28,342
46,46,57,560
56,56,94,848
66,66,121,1156
76,76,147,1576
86,86,185,2000
96,96,221,2458
106,106,310,3025
116,116,355,3619
126,126,456,4242
136,136,578,5003
146,146,689,5736
156,156,826,6567
16,16,8,67
26,26,22,176
36,36,46,342
46,46,86,560
56,56,119,848
66,66,159,1156
76,76,193,1576
86,86,242,2000
96,96,305,2458
106,106,398,3025
116,116,482,3619
126,126,601,4242
136,136,764,5003
146,146,1032,5736
156,156,1151,6567
517,517,101447,71316
128,128,698,4363
128,128,706,4363
128,128,716,4363
128,128,725,4363
128,128,679,4363
128,128,702,4363
128,128,745,4363
128,128,447,4363
128,128,444,4363
128,128,445,4363
128,128,451,4363
128,128,449,4363
200,200,3232,16738
200,200,4173,20789
300,300,18498,48039
400,400,56043,83186
500,500,130649,128891
100,100,765,9332
120,120,1268,13438
140,140,2094,17786
160,160,3252,23814
180,180,5394,29643
200,200,7331,34621
500,500,155126,111747
500,500,60643,66179
502,502,94008,68520
500,500,63172,66179
502,502,63972,68520
16,16,6,106
32,32,30,424
48,48,46,921
64,64,76,1658
80,80,119,2303
96,96,291,3426
16,16,7,106
16,16,13,106
100,100,271,2721
200,200,2028,10713
300,300,8551,23824
400,400,26137,42570
100,100,287,2721
200,200,2141,10713
300,300,8594,23824
400,400,26215,42570
100,100,283,2721
200,200,2181,10713
500,500,68673,66179
600,600,149654,95199
700,700,286421,130103
800,800,479427,169355
100,100,293,6846
200,200,3541,26882
300,300,16592,58502
400,400,47290,104148
500,500,111001,161400
600,600,235426,226048
700,700,1875975,320267
800,800,13602773,402810
700,700,169961,130103
800,800,299009,169355
900,900,1687597,219101
1000,1000,1095257,265189
600,600,130152,95199
700,700,244022,130103
800,800,417239,169355
100,100,186,2721
200,200,1985,10713
300,300,9656,23824
400,400,25650,42570
500,500,59029,66179
600,600,123042,95199
700,700,266084,130103
800,800,424928,169355
900,900,713878,219101
1000,1000,2593252,265189
128,128,666,6865
64,64,79,1718
